,capacity_bytes,failure,smart_5_normalized,smart_5_raw,smart_9_normalized,smart_9_raw,smart_90_normalized,smart_90_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw
capacity_bytes,1.0,-0.0011844759800780768,-0.04466960110510459,-0.05565662931622322,0.38111306765314806,-0.7007028667220025,,-0.012504381995792619,0.0717191266158403,-0.002513312184032968,-0.0013672197317890996,-0.008699945759962397,-0.07210592070765617,-0.0018525895854886274,-0.03933946779080388,-0.0017603476829981715
failure,-0.0011844759800780768,1.0,-0.011817046258373874,0.014024075937541696,-0.0005464892912326411,0.001992701461474504,,-3.4916069736915e-05,-0.044237928725041065,0.009072366313574347,-0.03652421473689356,0.00661974447333671,-0.007483966298555694,0.03955800072177942,-0.01415900062383793,0.03754588737107189
smart_5_normalized,-0.04466960110510459,-0.011817046258373874,1.0,-0.29147681545884296,0.002427881455251705,0.03490987162704472,,1.3329263811338895e-06,0.3972982970848578,-0.07056770281978957,0.0797153196375592,-0.007480932434085493,0.8570668531330373,-0.04434566391948963,0.560888772559331,-0.043418212458122996
smart_5_raw,-0.05565662931622322,0.014024075937541696,-0.29147681545884296,1.0,-0.024892346593577707,0.043866758361442715,,-8.540441282869653e-05,-0.5212297018571198,0.06257214402542315,-0.025986979979543072,0.005006648611829365,-0.0038405292526128305,0.01206580513403525,-0.005163228306224539,0.0121737043392106
smart_9_normalized,0.38111306765314806,-0.0005464892912326411,0.002427881455251705,-0.024892346593577707,1.0,-0.5812469343306533,,0.0007153537412286641,0.06207549957746006,-0.0016133937426293832,-0.0012777605235168067,-0.017819866668187148,-0.008305143501597025,0.002042801399290544,0.01794487686927707,0.0005254780162269225
smart_9_raw,-0.7007028667220025,0.001992701461474504,0.03490987162704472,0.043866758361442715,-0.5812469343306533,1.0,,-0.003918143641587089,-0.061517239111586436,0.001539618506687672,0.0012947379171672707,0.017708598144675815,0.05579788428877774,0.0014231104708443375,0.02814719957654667,0.0014362767148230037
smart_90_normalized,,,,,,,,,,,,,,,,
smart_90_raw,-0.012504381995792619,-3.4916069736915e-05,1.3329263811338895e-06,-8.540441282869653e-05,0.0007153537412286641,-0.003918143641587089,,1.0,,,,,,-4.960562784407132e-05,,9.032869714042862e-05
smart_187_normalized,0.0717191266158403,-0.044237928725041065,0.3972982970848578,-0.5212297018571198,0.06207549957746006,-0.061517239111586436,,,1.0,-0.16509595467117016,0.03548167711585809,-0.01506595808153062,0.0940608312086562,-0.054375122328329445,0.0940608312086562,-0.054375012574339694
smart_187_raw,-0.002513312184032968,0.009072366313574347,-0.07056770281978957,0.06257214402542315,-0.0016133937426293832,0.001539618506687672,,,-0.16509595467117016,1.0,-0.02971209435500376,0.004159194481689569,-0.015728985490381545,0.007662338676929956,-0.015728985490381545,0.00766440379854194
smart_188_normalized,-0.0013672197317890996,-0.03652421473689356,0.0797153196375592,-0.025986979979543072,-0.0012777605235168067,0.0012947379171672707,,,0.03548167711585809,-0.02971209435500376,1.0,-0.003932772500797838,0.34472640225634243,-0.6377344411076485,0.34472640225634243,-0.6377344412616924
smart_188_raw,-0.008699945759962397,0.00661974447333671,-0.007480932434085493,0.005006648611829365,-0.017819866668187148,0.017708598144675815,,,-0.01506595808153062,0.004159194481689569,-0.003932772500797838,1.0,-0.009886080187720966,0.012414649662674589,-0.009886080187720966,0.012414652303438349
smart_197_normalized,-0.07210592070765617,-0.007483966298555694,0.8570668531330373,-0.0038405292526128305,-0.008305143501597025,0.05579788428877774,,,0.0940608312086562,-0.015728985490381545,0.34472640225634243,-0.009886080187720966,1.0,-0.0954461224603346,0.6407286164980444,-0.09559684717381903
smart_197_raw,-0.0018525895854886274,0.03955800072177942,-0.04434566391948963,0.01206580513403525,0.002042801399290544,0.0014231104708443375,,-4.960562784407132e-05,-0.054375122328329445,0.007662338676929956,-0.6377344411076485,0.012414649662674589,-0.0954461224603346,1.0,-0.10595392432618574,0.9939617414190793
smart_198_normalized,-0.03933946779080388,-0.01415900062383793,0.560888772559331,-0.005163228306224539,0.01794487686927707,0.02814719957654667,,,0.0940608312086562,-0.015728985490381545,0.34472640225634243,-0.009886080187720966,0.6407286164980444,-0.10595392432618574,1.0,-0.1084509213695529
smart_198_raw,-0.0017603476829981715,0.03754588737107189,-0.043418212458122996,0.0121737043392106,0.0005254780162269225,0.0014362767148230037,,9.032869714042862e-05,-0.054375012574339694,0.00766440379854194,-0.6377344412616924,0.012414652303438349,-0.09559684717381903,0.9939617414190793,-0.1084509213695529,1.0
