Feature_1,Feature_2,Correlation,Absolute_Correlation
capacity_bytes,failure,-0.0011844759800780768,0.0011844759800780768
capacity_bytes,smart_5_normalized,-0.04466960110510459,0.04466960110510459
capacity_bytes,smart_5_raw,-0.05565662931622322,0.05565662931622322
capacity_bytes,smart_9_normalized,0.38111306765314806,0.38111306765314806
capacity_bytes,smart_9_raw,-0.7007028667220025,0.7007028667220025
capacity_bytes,smart_90_normalized,,
capacity_bytes,smart_90_raw,-0.012504381995792619,0.012504381995792619
capacity_bytes,smart_187_normalized,0.0717191266158403,0.0717191266158403
capacity_bytes,smart_187_raw,-0.002513312184032968,0.002513312184032968
capacity_bytes,smart_188_normalized,-0.0013672197317890996,0.0013672197317890996
capacity_bytes,smart_188_raw,-0.008699945759962397,0.008699945759962397
capacity_bytes,smart_197_normalized,-0.07210592070765617,0.07210592070765617
capacity_bytes,smart_197_raw,-0.0018525895854886274,0.0018525895854886274
capacity_bytes,smart_198_normalized,-0.03933946779080388,0.03933946779080388
capacity_bytes,smart_198_raw,-0.0017603476829981715,0.0017603476829981715
failure,smart_5_normalized,-0.011817046258373874,0.011817046258373874
failure,smart_5_raw,0.014024075937541696,0.014024075937541696
failure,smart_9_normalized,-0.0005464892912326411,0.0005464892912326411
failure,smart_9_raw,0.001992701461474504,0.001992701461474504
failure,smart_90_normalized,,
failure,smart_90_raw,-3.4916069736915e-05,3.4916069736915e-05
failure,smart_187_normalized,-0.044237928725041065,0.044237928725041065
failure,smart_187_raw,0.009072366313574347,0.009072366313574347
failure,smart_188_normalized,-0.03652421473689356,0.03652421473689356
failure,smart_188_raw,0.00661974447333671,0.00661974447333671
failure,smart_197_normalized,-0.007483966298555694,0.007483966298555694
failure,smart_197_raw,0.03955800072177942,0.03955800072177942
failure,smart_198_normalized,-0.01415900062383793,0.01415900062383793
failure,smart_198_raw,0.03754588737107189,0.03754588737107189
smart_5_normalized,smart_5_raw,-0.29147681545884296,0.29147681545884296
smart_5_normalized,smart_9_normalized,0.002427881455251705,0.002427881455251705
smart_5_normalized,smart_9_raw,0.03490987162704472,0.03490987162704472
smart_5_normalized,smart_90_normalized,,
smart_5_normalized,smart_90_raw,1.3329263811338895e-06,1.3329263811338895e-06
smart_5_normalized,smart_187_normalized,0.3972982970848578,0.3972982970848578
smart_5_normalized,smart_187_raw,-0.07056770281978957,0.07056770281978957
smart_5_normalized,smart_188_normalized,0.0797153196375592,0.0797153196375592
smart_5_normalized,smart_188_raw,-0.007480932434085493,0.007480932434085493
smart_5_normalized,smart_197_normalized,0.8570668531330373,0.8570668531330373
smart_5_normalized,smart_197_raw,-0.04434566391948963,0.04434566391948963
smart_5_normalized,smart_198_normalized,0.560888772559331,0.560888772559331
smart_5_normalized,smart_198_raw,-0.043418212458122996,0.043418212458122996
smart_5_raw,smart_9_normalized,-0.024892346593577707,0.024892346593577707
smart_5_raw,smart_9_raw,0.043866758361442715,0.043866758361442715
smart_5_raw,smart_90_normalized,,
smart_5_raw,smart_90_raw,-8.540441282869653e-05,8.540441282869653e-05
smart_5_raw,smart_187_normalized,-0.5212297018571198,0.5212297018571198
smart_5_raw,smart_187_raw,0.06257214402542315,0.06257214402542315
smart_5_raw,smart_188_normalized,-0.025986979979543072,0.025986979979543072
smart_5_raw,smart_188_raw,0.005006648611829365,0.005006648611829365
smart_5_raw,smart_197_normalized,-0.0038405292526128305,0.0038405292526128305
smart_5_raw,smart_197_raw,0.01206580513403525,0.01206580513403525
smart_5_raw,smart_198_normalized,-0.005163228306224539,0.005163228306224539
smart_5_raw,smart_198_raw,0.0121737043392106,0.0121737043392106
smart_9_normalized,smart_9_raw,-0.5812469343306533,0.5812469343306533
smart_9_normalized,smart_90_normalized,,
smart_9_normalized,smart_90_raw,0.0007153537412286641,0.0007153537412286641
smart_9_normalized,smart_187_normalized,0.06207549957746006,0.06207549957746006
smart_9_normalized,smart_187_raw,-0.0016133937426293832,0.0016133937426293832
smart_9_normalized,smart_188_normalized,-0.0012777605235168067,0.0012777605235168067
smart_9_normalized,smart_188_raw,-0.017819866668187148,0.017819866668187148
smart_9_normalized,smart_197_normalized,-0.008305143501597025,0.008305143501597025
smart_9_normalized,smart_197_raw,0.002042801399290544,0.002042801399290544
smart_9_normalized,smart_198_normalized,0.01794487686927707,0.01794487686927707
smart_9_normalized,smart_198_raw,0.0005254780162269225,0.0005254780162269225
smart_9_raw,smart_90_normalized,,
smart_9_raw,smart_90_raw,-0.003918143641587089,0.003918143641587089
smart_9_raw,smart_187_normalized,-0.061517239111586436,0.061517239111586436
smart_9_raw,smart_187_raw,0.001539618506687672,0.001539618506687672
smart_9_raw,smart_188_normalized,0.0012947379171672707,0.0012947379171672707
smart_9_raw,smart_188_raw,0.017708598144675815,0.017708598144675815
smart_9_raw,smart_197_normalized,0.05579788428877774,0.05579788428877774
smart_9_raw,smart_197_raw,0.0014231104708443375,0.0014231104708443375
smart_9_raw,smart_198_normalized,0.02814719957654667,0.02814719957654667
smart_9_raw,smart_198_raw,0.0014362767148230037,0.0014362767148230037
smart_90_normalized,smart_90_raw,,
smart_90_normalized,smart_187_normalized,,
smart_90_normalized,smart_187_raw,,
smart_90_normalized,smart_188_normalized,,
smart_90_normalized,smart_188_raw,,
smart_90_normalized,smart_197_normalized,,
smart_90_normalized,smart_197_raw,,
smart_90_normalized,smart_198_normalized,,
smart_90_normalized,smart_198_raw,,
