Column,Missing_Count,Missing_Percentage
date,0,0.0
serial_number,0,0.0
model,0,0.0
capacity_bytes,0,0.0
failure,0,0.0
smart_5_normalized,208717,0.6745177106426089
smart_5_raw,208717,0.6745177106426089
smart_9_normalized,39856,0.12880396841355432
smart_9_raw,39856,0.12880396841355432
smart_90_normalized,26718632,86.3474967929893
smart_90_raw,26718632,86.3474967929893
smart_187_normalized,20675970,66.81922387594332
smart_187_raw,20675970,66.81922387594332
smart_188_normalized,20703124,66.90697836606529
smart_188_raw,20703124,66.90697836606529
smart_197_normalized,775206,2.505259161431097
smart_197_raw,775206,2.505259161431097
smart_198_normalized,237727,0.7682702980492029
smart_198_raw,237727,0.7682702980492029
