Feature_1,Feature_2,Correlation,Absolute_Correlation
smart_197_raw,smart_198_raw,0.9943853627571522,0.9943853627571522
smart_188_normalized,smart_197_raw,-0.9323360369471461,0.9323360369471461
smart_188_normalized,smart_198_raw,-0.9323360369471461,0.9323360369471461
smart_5_normalized,smart_197_normalized,0.8767762209668523,0.8767762209668523
capacity_bytes,smart_9_raw,-0.718788103696628,0.718788103696628
smart_197_normalized,smart_198_normalized,0.6245813597484007,0.6245813597484007
smart_9_normalized,smart_9_raw,-0.6038382232783337,0.6038382232783337
smart_5_normalized,smart_198_normalized,0.5526123690085402,0.5526123690085402
smart_5_raw,smart_187_normalized,-0.5030340085779706,0.5030340085779706
capacity_bytes,smart_9_normalized,0.40887361041152875,0.40887361041152875
smart_188_normalized,smart_197_normalized,0.4074348952390933,0.4074348952390933
smart_188_normalized,smart_198_normalized,0.4074348952390933,0.4074348952390933
smart_5_normalized,smart_187_normalized,0.37980159027639687,0.37980159027639687
smart_5_normalized,smart_5_raw,-0.26049918182629234,0.26049918182629234
capacity_bytes,smart_90_raw,-0.20436290088968848,0.20436290088968848
smart_187_normalized,smart_187_raw,-0.15670602426483277,0.15670602426483277
smart_5_normalized,smart_188_normalized,0.14987718848761072,0.14987718848761072
failure,smart_188_raw,0.11775066550228594,0.11775066550228594
smart_198_normalized,smart_198_raw,-0.11278457343727091,0.11278457343727091
smart_197_raw,smart_198_normalized,-0.10956178677152802,0.10956178677152802
smart_197_normalized,smart_198_raw,-0.1040658821369476,0.1040658821369476
smart_197_normalized,smart_197_raw,-0.10364203346897853,0.10364203346897853
smart_187_normalized,smart_197_normalized,0.09586698293296195,0.09586698293296195
smart_187_normalized,smart_198_normalized,0.09586698293296195,0.09586698293296195
smart_5_normalized,smart_187_raw,-0.09537125559177478,0.09537125559177478
smart_5_raw,smart_187_raw,0.07519609651248198,0.07519609651248198
smart_9_normalized,smart_187_normalized,0.06664679080676157,0.06664679080676157
capacity_bytes,smart_197_normalized,-0.06618439723985872,0.06618439723985872
smart_9_raw,smart_187_normalized,-0.06571967198837371,0.06571967198837371
capacity_bytes,smart_187_normalized,0.061996310906329274,0.061996310906329274
smart_5_normalized,smart_197_raw,-0.05450715480161779,0.05450715480161779
smart_5_normalized,smart_198_raw,-0.05396198933088793,0.05396198933088793
smart_9_raw,smart_197_normalized,0.05080062203508863,0.05080062203508863
capacity_bytes,smart_5_raw,-0.04951743157831626,0.04951743157831626
smart_187_normalized,smart_197_raw,-0.04423682722344001,0.04423682722344001
smart_187_normalized,smart_198_raw,-0.04423661999918698,0.04423661999918698
capacity_bytes,smart_5_normalized,-0.04420850795589647,0.04420850795589647
smart_5_raw,smart_9_raw,0.042585309358025264,0.042585309358025264
failure,smart_187_normalized,-0.03669891907061935,0.03669891907061935
capacity_bytes,smart_198_normalized,-0.03450934319171808,0.03450934319171808
smart_5_normalized,smart_9_raw,0.032551711563740385,0.032551711563740385
smart_9_raw,smart_198_normalized,0.022869619791975306,0.022869619791975306
smart_187_normalized,smart_188_raw,-0.022141418424592257,0.022141418424592257
smart_5_raw,smart_9_normalized,-0.020218008730109496,0.020218008730109496
smart_9_raw,smart_90_raw,0.018553430598246604,0.018553430598246604
smart_9_normalized,smart_188_raw,-0.017381625105745035,0.017381625105745035
smart_9_normalized,smart_90_raw,-0.017266834919412933,0.017266834919412933
smart_9_raw,smart_188_raw,0.01724794403987466,0.01724794403987466
smart_9_normalized,smart_198_normalized,0.01667208419218387,0.01667208419218387
smart_187_raw,smart_198_normalized,-0.010573865904593386,0.010573865904593386
smart_187_raw,smart_197_normalized,-0.010573865904593386,0.010573865904593386
smart_187_normalized,smart_188_normalized,0.010419628805174327,0.010419628805174327
smart_5_raw,smart_198_raw,0.009824480438742029,0.009824480438742029
smart_5_raw,smart_197_raw,0.009653350999090505,0.009653350999090505
smart_5_normalized,smart_188_raw,-0.00907025385139868,0.00907025385139868
capacity_bytes,smart_188_raw,-0.0074410799742550575,0.0074410799742550575
smart_5_raw,smart_188_raw,0.007346606033723595,0.007346606033723595
smart_9_normalized,smart_197_normalized,-0.006302707591700235,0.006302707591700235
smart_188_raw,smart_197_normalized,-0.005577070182280884,0.005577070182280884
smart_188_raw,smart_198_normalized,-0.005577070182280884,0.005577070182280884
failure,smart_187_raw,0.0054351693020473915,0.0054351693020473915
smart_5_raw,smart_188_normalized,-0.005265220241833736,0.005265220241833736
smart_187_raw,smart_188_raw,0.0052181859355261845,0.0052181859355261845
smart_9_raw,smart_188_normalized,0.004905912511263374,0.004905912511263374
smart_9_normalized,smart_188_normalized,-0.004840352101342321,0.004840352101342321
smart_5_raw,smart_198_normalized,-0.004289778859144408,0.004289778859144408
smart_187_raw,smart_198_raw,0.004036629880461609,0.004036629880461609
smart_187_raw,smart_197_raw,0.004036461065931694,0.004036461065931694
smart_188_raw,smart_198_raw,0.0034406732237266756,0.0034406732237266756
smart_188_raw,smart_197_raw,0.0034406732237266756,0.0034406732237266756
smart_90_raw,smart_198_raw,0.0029896522119002562,0.0029896522119002562
smart_5_raw,smart_197_normalized,-0.002752741304572596,0.002752741304572596
smart_5_normalized,smart_9_normalized,0.0026700082770293302,0.0026700082770293302
smart_9_normalized,smart_197_raw,0.0026602123429642368,0.0026602123429642368
capacity_bytes,smart_197_raw,-0.002216391863992734,0.002216391863992734
smart_9_normalized,smart_187_raw,-0.0020426296980781103,0.0020426296980781103
capacity_bytes,smart_198_raw,-0.0019677990564166263,0.0019677990564166263
capacity_bytes,smart_188_normalized,-0.0019272896274560973,0.0019272896274560973
failure,smart_9_raw,0.0019002467426625681,0.0019002467426625681
smart_5_raw,smart_90_raw,-0.0018708065540989742,0.0018708065540989742
smart_9_raw,smart_187_raw,0.0018119889896543251,0.0018119889896543251
smart_188_normalized,smart_188_raw,-0.0016774845751269224,0.0016774845751269224
failure,smart_9_normalized,-0.001211458630110056,0.001211458630110056
capacity_bytes,failure,-0.0011703388023956082,0.0011703388023956082
smart_9_normalized,smart_198_raw,0.0010863827921640823,0.0010863827921640823
smart_90_raw,smart_197_raw,-0.0008786484221825648,0.0008786484221825648
smart_5_normalized,smart_90_raw,-0.0008053453242806844,0.0008053453242806844
failure,smart_5_raw,0.0006379737947103414,0.0006379737947103414
