Feature,Mean
capacity_bytes,15650875884635.46
failure,3.406247057102727e-05
smart_5_normalized,100.00203683627895
smart_5_raw,53.94698437377834
smart_9_normalized,63.15041414684327
smart_9_raw,31146.532549026335
smart_90_normalized,100.0
smart_90_raw,512500399820.241
smart_187_normalized,99.00501345257936
smart_187_raw,7.273350627280569
smart_188_normalized,99.99845019864215
smart_188_raw,1300677513.0654964
smart_197_normalized,100.04828178523293
smart_197_raw,4.715522372425827
smart_198_normalized,100.00498739326761
smart_198_raw,3.430095417359392
