Feature,Skewness
smart_198_raw,591.3096432666163
smart_197_raw,576.2970496832875
failure,408.2458409586068
smart_187_raw,128.95116225802525
smart_197_normalized,56.0184493758149
smart_188_raw,49.149063843440224
smart_5_raw,42.790390615881044
smart_5_normalized,36.91185266309327
smart_198_normalized,24.040222086857455
smart_9_raw,0.3900055674220352
smart_90_normalized,0.0
capacity_bytes,-0.2708831588185615
smart_9_normalized,-0.5712039868632898
smart_90_raw,-2.1352551974695353
smart_187_normalized,-10.792845007280219
smart_188_normalized,-335.03317941334615
