Feature,capacity_bytes,failure,smart_5_normalized,smart_5_raw,smart_9_normalized,smart_9_raw,smart_90_normalized,smart_90_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw
capacity_bytes,1.0,-0.0011703388023956082,-0.04420850795589647,-0.04951743157831626,0.40887361041152875,-0.718788103696628,,-0.20436290088968848,0.061996310906329274,-0.0004348172947729394,-0.0019272896274560973,-0.0074410799742550575,-0.06618439723985872,-0.002216391863992734,-0.03450934319171808,-0.0019677990564166263
failure,-0.0011703388023956082,1.0,-4.2782012744760335e-06,0.0006379737947103414,-0.001211458630110056,0.0019002467426625681,,,-0.03669891907061935,0.0054351693020473915,9.80564162058717e-06,0.11775066550228594,-4.10921407068268e-05,-1.4905439633546187e-05,5.176299259741414e-07,-1.0301018386275358e-05
smart_5_normalized,-0.04420850795589647,-4.2782012744760335e-06,1.0,-0.26049918182629234,0.0026700082770293302,0.032551711563740385,,-0.0008053453242806844,0.37980159027639687,-0.09537125559177478,0.14987718848761072,-0.00907025385139868,0.8767762209668523,-0.05450715480161779,0.5526123690085402,-0.05396198933088793
smart_5_raw,-0.04951743157831626,0.0006379737947103414,-0.26049918182629234,1.0,-0.020218008730109496,0.042585309358025264,,-0.0018708065540989742,-0.5030340085779706,0.07519609651248198,-0.005265220241833736,0.007346606033723595,-0.002752741304572596,0.009653350999090505,-0.004289778859144408,0.009824480438742029
smart_9_normalized,0.40887361041152875,-0.001211458630110056,0.0026700082770293302,-0.020218008730109496,1.0,-0.6038382232783337,,-0.017266834919412933,0.06664679080676157,-0.0020426296980781103,-0.004840352101342321,-0.017381625105745035,-0.006302707591700235,0.0026602123429642368,0.01667208419218387,0.0010863827921640823
smart_9_raw,-0.718788103696628,0.0019002467426625681,0.032551711563740385,0.042585309358025264,-0.6038382232783337,1.0,,0.018553430598246604,-0.06571967198837371,0.0018119889896543251,0.004905912511263374,0.01724794403987466,0.05080062203508863,0.0004661530135144668,0.022869619791975306,0.00030307320853796907
smart_90_normalized,,,,,,,,,,,,,,,,
smart_90_raw,-0.20436290088968848,,-0.0008053453242806844,-0.0018708065540989742,-0.017266834919412933,0.018553430598246604,,1.0,,,,,,-0.0008786484221825648,,0.0029896522119002562
smart_187_normalized,0.061996310906329274,-0.03669891907061935,0.37980159027639687,-0.5030340085779706,0.06664679080676157,-0.06571967198837371,,,1.0,-0.15670602426483277,0.010419628805174327,-0.022141418424592257,0.09586698293296195,-0.04423682722344001,0.09586698293296195,-0.04423661999918698
smart_187_raw,-0.0004348172947729394,0.0054351693020473915,-0.09537125559177478,0.07519609651248198,-0.0020426296980781103,0.0018119889896543251,,,-0.15670602426483277,1.0,-0.0005223488638040757,0.0052181859355261845,-0.010573865904593386,0.004036461065931694,-0.010573865904593386,0.004036629880461609
smart_188_normalized,-0.0019272896274560973,9.80564162058717e-06,0.14987718848761072,-0.005265220241833736,-0.004840352101342321,0.004905912511263374,,,0.010419628805174327,-0.0005223488638040757,1.0,-0.0016774845751269224,0.4074348952390933,-0.9323360369471461,0.4074348952390933,-0.9323360369471461
smart_188_raw,-0.0074410799742550575,0.11775066550228594,-0.00907025385139868,0.007346606033723595,-0.017381625105745035,0.01724794403987466,,,-0.022141418424592257,0.0052181859355261845,-0.0016774845751269224,1.0,-0.005577070182280884,0.0034406732237266756,-0.005577070182280884,0.0034406732237266756
smart_197_normalized,-0.06618439723985872,-4.10921407068268e-05,0.8767762209668523,-0.002752741304572596,-0.006302707591700235,0.05080062203508863,,,0.09586698293296195,-0.010573865904593386,0.4074348952390933,-0.005577070182280884,1.0,-0.10364203346897853,0.6245813597484007,-0.1040658821369476
smart_197_raw,-0.002216391863992734,-1.4905439633546187e-05,-0.05450715480161779,0.009653350999090505,0.0026602123429642368,0.0004661530135144668,,-0.0008786484221825648,-0.04423682722344001,0.004036461065931694,-0.9323360369471461,0.0034406732237266756,-0.10364203346897853,1.0,-0.10956178677152802,0.9943853627571522
smart_198_normalized,-0.03450934319171808,5.176299259741414e-07,0.5526123690085402,-0.004289778859144408,0.01667208419218387,0.022869619791975306,,,0.09586698293296195,-0.010573865904593386,0.4074348952390933,-0.005577070182280884,0.6245813597484007,-0.10956178677152802,1.0,-0.11278457343727091
smart_198_raw,-0.0019677990564166263,-1.0301018386275358e-05,-0.05396198933088793,0.009824480438742029,0.0010863827921640823,0.00030307320853796907,,0.0029896522119002562,-0.04423661999918698,0.004036629880461609,-0.9323360369471461,0.0034406732237266756,-0.1040658821369476,0.9943853627571522,-0.11278457343727091,1.0
