Feature,Kurtosis
smart_198_raw,380961.3101268962
smart_197_raw,365393.647522878
failure,166663.33331333325
smart_188_normalized,112787.57507772304
smart_187_raw,17390.09001208872
smart_198_normalized,3542.4469202892415
smart_197_normalized,3487.6815839594005
smart_188_raw,3358.147135309085
smart_5_normalized,2465.8493077917
smart_5_raw,2104.8480407684924
smart_187_normalized,123.22862914800866
smart_90_raw,7.5232091914738835
capacity_bytes,0.9915207839254592
smart_90_normalized,0.0
smart_9_raw,-0.48712402091807716
smart_9_normalized,-1.1927443547788403
